bcr_patient_uuid	bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	bcr_shipment_portion_uuid	center_id	is_ffpe	plate_id	portion_number	portion_sequence	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment
					CDE_ID:4170557						
dfa15fbe-bb14-40ce-afc6-70694112e3e2	TCGA-BC-A10Q-01A	TCGA-BC-A10Q-01A-21-A40L-20	A21E10AF-3D45-45A0-B2E4-14BC5FA33FA5	20	NO	A40L	21	2	4	6	2014
0bf5bbd4-d9e8-42a6-9ab5-f2c174dec12c	TCGA-BC-A10R-01A	TCGA-BC-A10R-01A-21-A40L-20	E9E08287-5807-4E84-B5A8-59DE0295A4E2	20	NO	A40L	21	2	4	6	2014
592ef526-176a-42e0-bbeb-fb62d369a343	TCGA-BC-A10S-01A	TCGA-BC-A10S-01A-11-A40N-20	C13F11E1-2E92-4548-B41E-EA189E440DDE	20	NO	A40N	11	1	4	6	2014
8a9cde9a-c38c-423e-bc14-354ee26468c9	TCGA-BC-A10T-01A	TCGA-BC-A10T-01A-21-A40L-20	52FB12B7-8108-4EE8-AA7A-409225D0702A	20	NO	A40L	21	2	4	6	2014
23103931-cc29-4f89-ae9c-79d53401ecea	TCGA-BC-A10U-01A	TCGA-BC-A10U-01A-21-A40L-20	DFCC1105-AC9E-4DD6-944A-CB6F4FE4EA3C	20	NO	A40L	21	2	4	6	2014
39baf24a-4032-4c23-b3fe-2c50df1881f6	TCGA-BC-A10W-01A	TCGA-BC-A10W-01A-21-A40N-20	2F3ED728-EF5C-4987-A0FA-052947A658D3	20	NO	A40N	21	2	4	6	2014
3dc48ea9-a3c6-437f-af5a-88feb300cc5f	TCGA-BC-A10X-01A	TCGA-BC-A10X-01A-21-A40L-20	586E5071-D93B-4D0D-B732-999FC8995A4A	20	NO	A40L	21	2	4	6	2014
6533648f-1353-4253-b65b-d472aacf5751	TCGA-BC-A10Y-01A	TCGA-BC-A10Y-01A-21-A40L-20	89EA706C-7252-4E64-9A4E-97F2E6744EE4	20	NO	A40L	21	2	4	6	2014
709f1e4d-f5e8-4a0b-8254-23f037f4bae7	TCGA-BC-A10Z-01A	TCGA-BC-A10Z-01A-21-A40L-20	9E0546BB-8A10-4B59-8083-5CD4F3FD6072	20	NO	A40L	21	[Not Available]	4	6	2014
cf028bce-d20d-42b8-8507-1ec94a391e85	TCGA-BC-A110-01A	TCGA-BC-A110-01A-21-A40N-20	202A1EE8-759B-4A19-BC8E-FEDD6EF80192	20	NO	A40N	21	2	4	6	2014
6a93206a-c25c-4e45-b0ba-0a21bd8253b6	TCGA-CC-5258-01A	TCGA-CC-5258-01A-21-A40N-20	3E1812C6-00C2-437C-8BA6-39A2B0C610EC	20	NO	A40N	21	2	4	6	2014
ca8afb2c-be3d-41e8-8dbc-19fe7ab6154b	TCGA-CC-5260-01A	TCGA-CC-5260-01A-21-A40L-20	254C5E95-8AE2-44E6-89BF-56DB0E056A71	20	NO	A40L	21	2	4	6	2014
1ad7f17e-b3b8-40e9-aab8-5a17e0aec408	TCGA-CC-5261-01A	TCGA-CC-5261-01A-21-A40L-20	76CB0776-E9E6-475F-9C3D-C8E60205528F	20	NO	A40L	21	2	4	6	2014
1b428ada-eb3f-40c2-b4bf-1bbf6b61729d	TCGA-CC-5262-01A	TCGA-CC-5262-01A-21-A40L-20	6AF7DF38-5308-4618-90F5-44A6882CD6DD	20	NO	A40L	21	2	4	6	2014
a6af3061-1484-4f6c-bb4b-c8f4626b4161	TCGA-CC-5263-01A	TCGA-CC-5263-01A-21-A40L-20	6B4F8CDA-B879-4BF0-9AD5-317CEB6AA090	20	NO	A40L	21	2	4	6	2014
61902cb6-b041-48ac-aacc-483a28949865	TCGA-CC-5264-01A	TCGA-CC-5264-01A-21-A40L-20	D7CA2572-EA6A-4E9E-8E11-43FF0976EA17	20	NO	A40L	21	2	4	6	2014
e2f6d3aa-b817-4193-a550-8e53265aa336	TCGA-CC-A123-01A	TCGA-CC-A123-01A-21-A40L-20	BB3F83AE-BA9B-44B2-998F-2D184242DD98	20	NO	A40L	21	2	4	6	2014
670c1cbc-4494-45f1-bb8b-18db82d4f7e0	TCGA-CC-A1HT-01A	TCGA-CC-A1HT-01A-21-A40N-20	C7A6791C-7141-42F9-8AFA-5083CCE10124	20	NO	A40N	21	2	4	6	2014
02931491-f56b-4233-a079-812e08bc0c59	TCGA-DD-A114-01A	TCGA-DD-A114-01A-21-A40L-20	63446327-F5E2-4CEA-909A-0E67787B85F0	20	NO	A40L	21	2	4	6	2014
